model,metric,n_seeds,source_minus_random_mean,source_minus_random_std,source_minus_random_minimum,source_minus_random_maximum,source_minus_random_ci95_low_t,source_minus_random_ci95_high_t
lstm,macro_recall,3.0,-0.004782231951599436,0.003039284661245518,-0.0075813382640144145,-0.0015493746359761529,-0.012332233595343755,0.002767769692144883
lstm,n,3.0,-1005.6666666666666,90.34009814768486,-1073.0,-903.0,-1230.0839113585566,-781.2494219747765
lstm,true_negatives,3.0,-253.66666666666666,30.35347316755256,-281.0,-221.0,-329.06887404478573,-178.26445928854758
lstm,true_positives,3.0,-798.0,131.32783406422266,-937.0,-676.0,-1124.2364252014252,-471.76357479857484
lstm,weighted_f1,3.0,-0.011218630446866551,0.005439923424846741,-0.0165443541451743,-0.005671281262819572,-0.024732149375562354,0.002294888481829252
majority,accuracy,3.0,-0.002045220204065242,0.006628915719365316,-0.00957101668066862,0.0029277665264578756,-0.018512359730555192,0.014421919322424709
majority,balanced_accuracy,3.0,0.0,0.0,0.0,0.0,0.0,0.0
majority,brier_score,3.0,0.0007426937256777381,0.002378672448629852,-0.0010365102645553959,0.0034444512021823137,-0.005166256207865177,0.006651643659220653
majority,ece_10,3.0,0.005202438020239349,0.006008986460424629,0.0005275850046647491,0.011980273320429249,-0.009724711855498606,0.020129587895977304
majority,false_negatives,3.0,0.0,0.0,0.0,0.0,0.0,0.0
majority,false_positives,3.0,-310.0,41.58124577258358,-350.0,-267.0,-413.29354072523387,-206.70645927476613
majority,log_loss,3.0,0.0015563236993608731,0.0049789404608787165,-0.0021667877169795347,0.007211779663087614,-0.010812050064067515,0.013924697462789262
majority,macro_f1,3.0,-0.0007341848307846899,0.002366901205522113,-0.0034219170715045766,0.0010389747420622153,-0.006613893375409489,0.005145523713840109
majority,macro_precision,3.0,-0.001022610102032658,0.003314457859682627,-0.00478550834033431,0.0014638832632288823,-0.009256179865277556,0.00721095966121224
majority,macro_recall,3.0,0.0,0.0,0.0,0.0,0.0,0.0
majority,n,3.0,-1005.6666666666666,90.34009814768486,-1073.0,-903.0,-1230.0839113585566,-781.2494219747765
majority,true_negatives,3.0,0.0,0.0,0.0,0.0,0.0,0.0
majority,true_positives,3.0,-695.6666666666666,94.99649116327052,-774.0,-590.0,-931.6510328493039,-459.6823004840294
majority,weighted_f1,3.0,-0.002622070746561067,0.008524034269516935,-0.012298199218327976,0.0037775835687912096,-0.02379694573172026,0.018552804238598126
source_only_logreg,accuracy,3.0,-0.6621980852606143,0.0070550578481044434,-0.6666895839682843,-0.6540664484835144,-0.6797238205196707,-0.6446723500015579
source_only_logreg,balanced_accuracy,3.0,-0.4871861595895412,0.0016995138621854558,-0.488912221400144,-0.4855145000072536,-0.49140798606623853,-0.48296433311284387
source_only_logreg,brier_score,3.0,0.31231219930584103,0.04617348172754438,0.2692042696215719,0.361037292457193,0.19761091206363324,0.4270134865480488
source_only_logreg,ece_10,3.0,0.3084519485677831,0.07500923379236313,0.23269002314803872,0.3826851209304014,0.12211868217467658,0.49478521496088956
