run_id,config_name,split_protocol,model,evaluation_split,seed,metric,value
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,balanced_accuracy,0.9528480775461452
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,macro_precision,0.9661830369489464
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,macro_recall,0.9528480775461452
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,macro_f1,0.9591031510451288
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,weighted_f1,0.9644843715535908
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,brier_score,0.0343009827545397
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,log_loss,0.1466667852752217
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,ece_10,0.0612376201655602
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,true_negatives,2449.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,false_positives,215.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,false_negatives,76.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,true_positives,5513.0
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,n,6178.0
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,accuracy,0.6819359015862739
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,balanced_accuracy,0.5
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,macro_precision,0.3409679507931369
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,macro_recall,0.5
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,macro_f1,0.4054470214608796
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,weighted_f1,0.5529777602507886
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,brier_score,0.2169189048888272
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,log_loss,0.6254465183932676
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,ece_10,0.0044246101339636
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,true_negatives,0.0
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,false_positives,1965.0
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,false_negatives,0.0
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,validation,42,true_positives,4213.0
20260822T212811Z-ifnd_source_disjoint_v1-682d7b1e,ifnd_source_disjoint_v1,source_disjoint,majority,test,42,n,7437.0
